Designator,Mid X,Mid Y,Rotation,Layer
C1,33.5,-88.5,0.0,top
C2,28.5,-92.05,270.0,top
C3,32.0,-92.0,270.0,top
C4,31.25,-50.0,180.0,top
C5,32.4,-45.0,90.0,top
C6,55.0,-80.05,270.0,top
C7,55.0,-71.95,270.0,top
CH1,50.0,-95.0,180.0,top
CH2,68.0,-95.0,180.0,top
CH3,86.0,-95.0,180.0,top
CH4,90.0,-72.0,270.0,top
CH5,90.0,-54.0,270.0,top
CH6,90.0,-36.0,270.0,top
CH7,75.705,-24.01,0.0,top
CH8,57.705,-24.01,0.0,top
D1,52.6875,-40.6,0.0,top
D2,52.6875,-37.2,0.0,top
D3,52.6875,-33.8,0.0,top
D4,32.2,-40.5,180.0,top
D5,29.0875,-37.5,0.0,top
J1,27.9025,-57.8,270.0,top
J2,44.5,-60.0,270.0,top
J3,73.4,-53.6,0.0,top
R1,48.8875,-40.6,180.0,top
R2,48.8875,-37.2,180.0,top
R3,48.8875,-33.8,180.0,top
R4,29.5,-88.5,0.0,top
R5,33.0875,-37.5,180.0,top
SW1,48.0,-72.0,0.0,top
SW2,48.0,-80.0,0.0,top
U1,34.6,-76.06,90.0,top
U2,60.33935,-39.365,180.0,top
U3,39.0,-46.4,0.0,top
V_IN1,39.0,-24.0,0.0,top
