Designator;Mid X;Mid Y;Layer;Rotation
C1;33.5;-88.5;top;0.0
C2;28.5;-92.05;top;270.0
C3;32.0;-92.0;top;270.0
C4;31.25;-50.0;top;180.0
C5;32.4;-45.0;top;90.0
C6;55.0;-80.05;top;270.0
C7;55.0;-71.95;top;270.0
D1;52.6875;-40.6;top;0.0
D2;52.6875;-37.2;top;0.0
D3;52.6875;-33.8;top;0.0
D4;32.2;-40.5;top;180.0
D5;29.0875;-37.5;top;0.0
J1;27.9025;-57.8;top;270.0
R1;48.8875;-40.6;top;180.0
R2;48.8875;-37.2;top;180.0
R3;48.8875;-33.8;top;180.0
R4;29.5;-88.5;top;0.0
R5;33.0875;-37.5;top;180.0
SW1;48.0;-72.0;top;0.0
SW2;48.0;-80.0;top;0.0
U2;60.33935;-39.365;top;180.0
U3;39.0;-46.4;top;0.0
